,FIGF,FLT1,KDR,KIT,PDGFA,PDGFB,PDGFRA,PDGFRB,VEGFA,VEGFB,VEGFC,ANGPT1,ANGPT2,ANGPT4,ANGPTL1,TEK,TGFB1,THBS1,TIE1,BAK1,BCL2,BCL2L1,BIRC5,XIAP,CDK4,CDK6,BRCA1,ERCC1,NAE1,NEDD8,RAD51,RAD52,XRCC4,KSR1,MAPK11,MAPK3,FGF1,FGF12,FGF13,FGF14,FGF2,FGF3,FGF4,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,GLI1,PRKACA,PTCH1,SHH,SMO,STK36,AREG,BTC,EGF,EGFR,ERBB2,ERBB3,ERBB4,EREG,HBEGF,NRG1,NRG2,NRG4,TGFA,IGF1,IGF2,IGF2R,IRS1,PKM,CD274,CTLA4,LAG3,PDCD1,PDCD1LG2,JAK2,SOCS1,STAT1,STAT2,STAT3,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K2,MAP3K3,MAP3K4,AXL,HGF,MET,MST1R,PIM1,PIM2,PIM3,STK11,TSC1,TSC2,AKT1,AKT2,MTOR,PTEN,ALK,RET,ROS1,UBA1,ATM,ATR,BRCA1,CHEK1,CHEK2,PARP1,RAD54B,RAD54L,WEE1,XRCC1,PIK3C2B,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PRKCA,PRKCB,ILK,PLK1,BRAF,RAF1,HRAS,KRAS,NRAS,CCNE1,CCNE2,RB1,CCND2,CCND3,CDKN2A,CDKN2B,DKC1,HSP90AA1,TEP1,TERT,CDH1,CTNNA1,DKK1,FZD1,FZD5,WIF1,WNT5A,WNT5B
Pathway,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOPOIETINS,ANGIOPOIETINS,ANGIOPOIETINS,ANGIOPOIETINS,ANGIOPOIETINS,ANGIOPOIETINS,ANGIOPOIETINS,ANGIOPOIETINS,Antiapoptosis,Antiapoptosis,Antiapoptosis,Antiapoptosis,Antiapoptosis,CDK4_6,CDK4_6,DNA_REPAIR,DNA_REPAIR,DNA_REPAIR,DNA_REPAIR,DNA_REPAIR,DNA_REPAIR,DNA_REPAIR,ERK,ERK,ERK,FGF,FGF,FGF,FGF,FGF,FGF,FGF,FGF,FGF,FGF,FGF,FGF,FGF,FGF,FGF,HDAC,HDAC,HDAC,HDAC,HDAC,HEDGEHOG,HEDGEHOG,HEDGEHOG,HEDGEHOG,HEDGEHOG,HEDGEHOG,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,IGF_Warburg,IGF_Warburg,IGF_Warburg,IGF_Warburg,IGF_Warburg,IMMUNO-Modulator,IMMUNO-Modulator,IMMUNO-Modulator,IMMUNO-Modulator,IMMUNO-Modulator,JAK_STAT,JAK_STAT,JAK_STAT,JAK_STAT,JAK_STAT,MEK,MEK,MEK,MEK,MEK,MEK,MEK,MET,MET,MET,MET,Modulators_MTKPT,Modulators_MTKPT,Modulators_MTKPT,Modulators_MTKPT,Modulators_MTKPT,Modulators_MTKPT,mTOR_AKT_PTEN,mTOR_AKT_PTEN,mTOR_AKT_PTEN,mTOR_AKT_PTEN,OTHERS,OTHERS,OTHERS,OTHERS,PARP,PARP,PARP,PARP,PARP,PARP,PARP,PARP,PARP,PARP,PI3K,PI3K,PI3K,PI3K,PI3K,PI3K,PI3K,PLK_AURKA_Kinesins,PLK_AURKA_Kinesins,RAF,RAF,RAS,RAS,RAS,Resist_CDK4_6_inhibit,Resist_CDK4_6_inhibit,Resist_CDK4_6_inhibit,Sensitivity_to_CDK4_6_inhibitors,Sensitivity_to_CDK4_6_inhibitors,Sensitivity_to_CDK4_6_inhibitors,Sensitivity_to_CDK4_6_inhibitors,TELOMERASE,TELOMERASE,TELOMERASE,TELOMERASE,WNT,WNT,WNT,WNT,WNT,WNT,WNT,WNT
AGG600716,4.8651372119798,5.65801313389915,4.66966776264011,6.76187657390978,0.787936368668909,4.18825823718731,5.15146209917513,2.81618359360901,7.90865156939371,5.98037072286186,7.34956328707226,-2.0347253809995,3.80744744354058,4.57143477557379,3.40481885763164,6.97528371658625,7.09447862348321,3.93465112583695,-2.48915332423313,7.72970987590791,5.62814014035234,2.1436501161766,4.08250619712594,9.15239530969229,3.5414927689102,0.274519060492097,1.25961958861006,3.24424856245509,2.64980887430328,2.14259116753316,2.85528261039014,7.75792223985342,6.04024476929655,5.00901711177085,5.63738594362518,2.92163359248373,3.29636699271057,7.885673663236,2.53004811851956,-0.866156174912103,6.04321206909682,3.9287436114727,4.57279355689806,0.225224190677779,5.83947955528881,2.60058814919868,5.89782234047383,3.4918696662361,2.53513652065147,5.02149675981222,5.6384068698807,5.05286028020404,6.74118307690181,2.26645973358331,5.56777471949711,7.3985938971588,7.30836743929687,5.01163319207744,4.31730595492025,5.56930983009519,6.15229854743632,0.579970258828368,1.04977497147038,-0.746300213301583,1.68776491609312,4.67012270654163,6.08239168826283,3.64016109158712,7.12664631254201,8.86878729189955,6.87355595695443,3.38896871363234,5.63738594362518,2.77903893007479,4.43478567895967,3.90134522028135,5.59452583686402,1.78280381641421,4.54083130971854,3.3642894311563,-0.167315174198101,6.45020204259463,-1.5055970764586,3.04489898757267,11.509891093218,1.68183032139343,7.24857007599051,1.16633412914517,3.40544319716743,4.25203728646885,8.87448592602728,6.73855569920831,7.86843287991881,4.00102568324512,0.959121657371091,3.62598255932159,0.917618847225814,3.4031686348034,6.95464466057774,2.89789267289984,5.03627687463776,10.1228883293312,7.30836743929687,0.676568139472943,4.47956162810269,4.9276398905411,1.83702518900632,10.7175754726176,14.1483941526634,1.77602322427525,8.82738980559425,1.83652432438547,2.69323811114293,2.91597647664341,7.44680637900491,6.82661606885847,4.3850726505848,1.25961958861006,4.96128390712023,0.614332921570431,4.33524969342627,2.64085371869372,4.98669114774819,10.6243492589724,-1.47539337339189,7.30836743929687,1.89215305978271,5.53599617089251,3.61814133564851,1.04519809937381,6.94715247840283,5.44491048401667,2.94748722398034,5.63738594362518,3.3920380733449,6.04309049487113,8.55157130334124,8.4128379130952,2.59625150917508,6.537465676656,5.46986125008982,5.1573344416389,0.465664889101505,1.18631859542206,2.65704274970045,4.77144958411959,0.515124953375022,3.98624830550709,5.76143204824728,0.435023694569144,2.04189504719447,5.05040932560295,0.137747322392537,4.33790795068917,2.38561488435654,9.0559293084728,1.77483466134006,-0.223629138519331
ANO420520,4.03326548922416,6.08118134332246,4.14802426284005,7.1614427294323,0.943745472810121,4.35781461124304,6.59739222403897,3.88873697637459,8.78342343908793,6.61634805035451,7.10729878133906,2.08738274091357,3.27509306930481,4.85506581285412,2.65984101994498,7.12254534027484,7.63031046726514,4.24891310600647,-1.02358172567936,7.81157724765346,6.03852778166868,0.510654448686617,4.29692606635897,8.56329184362599,4.77699804988458,0.842339971712206,1.59098135877029,3.17105302944738,1.94521734699655,3.04571457849656,2.93809858106155,8.70796039688997,5.90856563862149,4.79534121835509,5.45161302914199,2.60735116021277,3.11003955290847,8.03299610465005,2.2449444365175,-1.20604909529386,6.71064902357759,4.78343897999813,3.91130059721364,-0.95811791850096,7.35362561279938,4.01988794052017,6.57762170214225,3.66616654833025,2.50580955952813,3.98839080014654,5.76828020246589,5.62500070232706,6.62207501532841,2.7013276986287,5.4688419314145,7.64232120503879,7.74968540494284,5.04219546901516,4.09320663704961,5.7530928402093,6.27027380799611,0.153995640918338,0.792318271981882,-0.478012916193004,2.6942078724784,1.84311451730602,5.95801061845043,3.65237857932764,8.06969256678847,9.81731645244618,8.53018951219847,4.15398493750976,5.45161302914199,1.41376118450485,4.46347505227817,4.61584176324366,6.84510384012097,1.92576685720326,5.2174230259672,4.44439631993371,-0.920636109215295,6.66993943866431,0.248060807865082,1.77160257201741,12.449046442498,0.170471511772526,6.92249062184045,0.466001260711966,3.5939567948521,4.64843037024059,9.67514094639509,6.76521719191598,8.10689266314246,3.72750149541744,0.516032554287161,3.24343925214911,1.50894783523643,4.14306897784734,7.089902247052,3.1377065986796,5.12790505331795,10.1517696569755,7.74968540494284,1.24887954598431,4.7909682464518,5.6533427018408,2.08391218588334,11.2278662092896,14.765088184545,0.849142478877756,9.80319278207326,2.8099548825803,2.04967163771196,2.01722949768031,7.02255374424047,7.34860470781824,4.55870849273805,1.59098135877029,4.7020098480884,0.304916616008611,3.35479342243219,2.39691036638791,3.9970052512828,10.8402021590868,-0.575488150951895,7.74968540494284,2.47823118668276,4.74363048183101,3.17421228726516,1.71313526966822,7.16990784263198,5.5567705427609,2.11721531140104,5.45161302914199,3.4671082771028,4.72044374412074,9.80900790538829,6.02956885966321,2.65095169290892,6.66016901375365,5.5209114563236,4.53497037498898,0.470398665022883,-1.34699739295853,2.37840291900878,6.31851132553507,0.932429493828445,4.72940246618364,5.62741515993544,1.96833430691623,1.76425157992537,5.4238757308263,0.147516577743584,4.29378301127098,2.12278196692406,9.40200356981291,1.43050113399189,0.370334927123008
ARC270517,4.04149007260428,7.23587914900648,5.17698740833224,6.65929260779081,-0.285873798895582,3.90999928925814,7.03052730618734,4.23826390574071,8.62675445976145,7.65430949952463,8.43494381935171,1.80805266278398,3.86737599537503,4.85754696423899,1.85670916271205,7.38731652466357,7.62025229853124,3.84914593313613,-0.755115996058868,7.78324640672593,6.17310466037765,1.14224734308531,3.76658132817328,8.15970899055465,6.13556178635361,-0.110576031774294,2.43200945620997,3.34634478057066,2.12627626904661,3.56927021179238,3.48033306775515,7.81514644237731,5.34772292933576,5.35774255168223,6.00334821838864,3.22382650924636,3.0948019979504,7.64682579816776,1.67695942248611,1.121059949865,5.70358517942363,5.03559283979361,5.17298620869363,2.3204765556049,5.84867944771503,3.14695868366069,6.24324062670767,3.34620006350843,2.34116667121642,4.83131272203719,5.8999525938061,5.76065231661604,6.39431748549617,3.14391424509128,5.80825727680274,7.73589773828518,6.31402591148134,4.82489381285501,3.85534107408691,7.39472929019275,7.10978213005555,1.87342068412344,1.28425674353978,0.305218568124368,1.41173782528176,3.23300716228729,6.2543699543844,3.24632495637027,7.54690487958288,8.68006651392575,8.58467064166675,2.9033806280401,6.00334821838864,2.7188184092509,4.30805274858413,4.53351946535534,5.98877234458103,-0.518070742194272,4.98749396415777,3.07062128249792,0.925305540974106,6.44392442059172,0.709399334132004,2.19416825207769,12.4256302211178,0.647604526119154,6.18545167463346,-1.11112288333373,2.58041250501779,4.33668761318078,8.92720256887858,6.99281550824848,8.08215848951761,3.98995203753765,1.16248970582319,3.26865827763619,1.97116179775327,3.54025053790404,7.23314823414121,4.05144758064613,5.75394181470435,9.61553041473056,6.31402591148134,2.71791893006177,5.09600184394383,5.43236456417555,2.49154763334942,11.8318887223603,13.3298680274706,1.65236659175826,8.83805161317351,2.6171854448562,1.6159461223176,1.98835349581235,3.8954964139112,7.0457260919699,3.779464467447,2.43200945620997,5.31008685149507,-0.136842076861553,2.99495264089906,1.55250790411452,4.73376725124423,10.3823122683298,-0.845932228442572,6.31402591148134,2.47089186552798,4.46868591597718,4.27476969889113,-0.0280236243979215,9.44469686921601,5.81968045064325,2.55048810105695,6.00334821838864,3.58091540181622,5.47940198930847,9.23715637867384,7.86084883763506,2.74583499807828,7.07893423711645,5.06736724131814,5.11160018736689,-0.38602176103341,3.59038088465533,3.00319466919926,5.13612291327606,0.360521379471434,4.32781207834516,4.52051690066681,1.02683654622981,2.89320949403824,7.90947625349174,2.37477961750019,5.07313331785645,3.56220408412682,8.23739021894226,1.34032057019385,1.06904674898968
AVI260916,4.46494017283234,6.21363402420497,5.89459813938105,7.48415381728036,0.118275873416842,3.29042784926045,6.92484918309246,3.56644239025062,9.27850611600857,6.95360904459657,7.11297789340178,0.786068015166866,4.29295232303133,4.7074275532669,3.04430577698094,6.9631184662133,6.9456057574917,4.04928864902138,-0.668844797398445,8.1088866168258,5.68438514490013,0.001620443461018,3.59052677970539,8.44253830051061,6.04532563017037,0.442381504625449,1.87181878497992,3.2375044351471,2.22434110881534,2.60773496601132,3.58337618090322,8.43831786648315,5.33896303525659,4.21325032125247,5.38264152035953,2.95543178084413,2.68481105887809,9.49451982822141,2.5909273441667,0.115144356993453,6.23373116333126,5.28141476610578,3.65145553951617,1.2623656435292,7.69148936457885,3.7385411820361,6.83352878834044,3.73250735097205,2.76191866396435,4.50421030632362,5.89451073185676,6.19361982036449,6.39376174106041,3.59101433971213,5.14251643139283,7.62581840101226,6.91879227990367,4.3489905953592,4.54400565917056,6.03565243674518,7.03331003498131,0.537399238922639,2.56081031339215,0.709158606947632,2.24118312722294,2.77554631298264,5.90560977048664,4.16893524908082,8.47029032460297,9.29681517847132,8.19617314165352,2.98162362354164,5.38264152035953,2.13743174502387,4.73121334754849,4.00899200298366,5.9364217030258,0.906130368774209,4.63864466382605,2.8767725287212,1.33466250625345,6.78419380922994,-0.595507199262584,2.35742260107316,11.1164093888648,0.0966515101966636,6.68431144599943,-0.494364890511937,2.99250194597295,4.91353639813218,8.71590043494286,6.75329278652007,7.9586673453699,4.0088800137236,0.963788923645501,3.11579127062571,1.18280570759578,5.7131352196321,7.25208706550822,5.1143882987711,5.60167778816974,10.08077868146,6.91879227990367,1.5226219270439,4.58525551461555,5.22099435000548,1.40072299641296,11.2405713251992,14.400410447592,1.08220728808546,10.3768278533505,2.30834494334343,3.6748356325566,2.184295123693,8.07483935296654,7.59417786702764,5.34424640464427,1.87181878497992,5.61036987894296,-0.869978874928498,2.21410041646604,2.79904521920154,4.38414776184027,10.1462094226562,-0.780040368288265,6.91879227990367,2.57087454115485,3.83880634038268,4.21058953623463,2.21542452945629,7.53043031920699,4.79302426296086,3.25323098624467,5.38264152035953,3.30457143884971,4.47964155066178,8.50856999462387,8.72741040149728,2.289480150943,6.99307252302098,6.30143777824092,3.78590926171433,0.152753515658965,4.46186172122656,2.5098650235284,6.00808064912726,-0.0284358263550198,4.37447641944517,5.973561985991,1.81338269729181,1.73044085951326,5.92560382503245,2.33933517509261,4.15114701142783,2.74889293867649,10.1006137942582,-0.392574318802882,0.53079803105741
AZE450213,4.17787414362749,6.36877329537807,5.04704461257648,7.15532293872948,0.212815721184182,3.30404745298306,7.32835556434148,3.90164301588125,8.92785300952774,7.07947796693197,7.24077367615359,0.686446366013053,4.14859978884976,5.08031781550102,2.46825863864546,6.79556303153695,7.77980973566483,4.34776982010253,-0.908455666793788,7.463088415397,6.60664645485986,1.51723810517555,4.50139022943693,7.47988924233795,5.15511088769966,0.978366493619779,1.43679346129282,3.21713086820981,1.61907267142403,2.69822550174125,3.6725037946175,9.04278113843789,5.91411352737093,4.58831174508407,6.23273546700899,3.07682435343867,2.80875704179489,8.72616904340354,2.04196437826912,-0.562016432659215,6.42835204273056,3.94080278650542,3.81851669601096,1.1710071552968,7.81111668070762,3.50658763814366,6.90142407917882,3.58854634094593,3.22761562500535,4.45590398689334,6.09439192737276,5.5615073617681,6.59356588945991,2.94950289956275,5.74224734302354,7.85159294907048,6.6837723828552,5.01377263727768,4.47870282933851,7.81160791425242,6.85415897791781,0.29605254295117,1.69853398661468,-0.665136883027543,2.30145234857806,2.01053486489975,6.65428748166015,3.67430533927716,8.11333644362158,9.32506138787898,8.69110780526064,3.53983011166673,6.23273546700899,2.22529076486905,4.93700739977832,4.48796668746593,6.43951469878634,-0.244669368240167,4.17786144145627,3.63714420017713,1.22491238281214,6.5088996740543,0.557125568514299,1.81404431839407,11.5936609937194,0.552851964910541,6.96968759617479,-0.990699671444539,2.68506669079751,4.45569327704948,9.21581064663692,7.22286369145602,7.96392197652549,4.59399009652236,0.537604092598783,3.34563173651699,1.86787180206471,3.82974279346979,6.8989982715535,4.21838525506862,5.34576805152804,10.106191255128,6.6837723828552,1.37072004507925,4.80882504178513,5.66012652725045,1.5137773138009,11.1870432531132,14.8631571511245,2.43646732919094,10.5609334271253,2.6916241898406,2.51110995243497,2.44542228682132,7.71639694511405,7.13874711881017,3.89837124187776,1.43679346129282,4.58094538390177,-0.949398628498798,2.72628007966424,3.57322519791627,4.21065992490062,11.4186069319954,-0.814926751270615,6.6837723828552,1.94302161121941,4.22207060567606,3.66351966840281,1.03551035774667,8.16014654007187,5.44202784535583,2.74417223577666,6.23273546700899,3.09949237442478,4.63759977985847,9.32688400432067,7.58184250183722,2.92815598856435,7.29612650595538,5.28339918725234,3.80893314431185,0.257304415310104,3.47153859251883,2.74940637734237,6.42985569295888,0.706801411313327,4.31671244155283,5.40156678265545,1.43861444702274,3.20238370819233,6.09096914463399,0.165098046287058,4.65384011585761,2.83535951717489,9.37051912195261,-0.0130573106753634,1.14696402069927
BAR331123,3.64521460519257,5.91514555850704,5.63819271758598,7.41424713947989,0.663846187843861,1.21890887066299,5.55907654611718,3.74325492011253,7.36112290499758,8.09814779679016,5.64604069647613,-2.65357919292646,3.66915196608367,6.05067111937757,2.28369719842224,4.15777266672023,9.05057482010477,5.53804933843038,-2.17225921551448,5.99197918534698,5.08313936413653,1.55999054509806,3.86003574577284,6.82005683691443,6.8512730325552,0.921024208405177,2.09829995413085,3.77462409892462,1.84349437416883,3.55854729369315,4.24874707865073,6.2108751342885,4.02531334272493,4.86848357684721,8.45654325215083,3.44597999504426,3.28049212989907,7.34792284898648,1.70735670137882,-2.11505788897027,4.49876555874179,5.01016480347286,2.61309858118949,3.19573133166268,5.17632662307314,1.35634250681392,4.73479993974134,3.46626436251302,3.00686131386838,6.77667912719815,6.68661221777193,6.60275758061567,5.53543150273577,3.78322974719467,7.17955424398895,8.35689078230425,2.71829751728411,3.03236405675997,4.84119966605498,8.11504763086808,7.44191686887664,0.153912809286165,1.21390320219349,-0.617172138241647,2.00518570167004,1.96952495577813,5.60093119423442,2.75058959849408,6.32805304094728,7.85168354755259,8.67645266086354,3.03361580656809,8.45654325215083,2.98964019587063,3.6064832378322,3.58319150717424,7.50001124740317,0.539564510790464,3.90566613396134,0.771971783034433,1.57316152625043,4.34516703825502,-1.3132592332332,3.19747734471276,9.11260396393081,1.07446984503328,5.95313542376433,0.223801891183058,3.37437039246344,4.60860272731971,6.84680001904837,7.11324230441124,7.93396415998133,4.72511010530073,1.10964802586078,4.2388469655845,0.929250493043903,3.37364906025754,7.18093148894628,2.84139664801548,4.91128574701187,8.46812162679221,2.71829751728411,2.1876930160359,4.64147419609501,4.412734240326,-0.152891606099731,12.6127317041654,10.2009468275054,2.9976426582069,8.07589380109526,2.45505973772453,2.69273041604823,3.18375174534203,8.98228161820488,6.21028648025762,4.27792029002529,2.09829995413085,4.22221371201621,0.636439870742749,2.69280413742603,-1.0616497300365,6.13818462311721,7.50897176284634,-1.33344444892524,2.71829751728411,2.70265443560594,4.50660237818856,4.12199189760633,0.176962666321271,10.7419584807727,4.89323944350177,2.71201370209919,8.45654325215083,3.92034329660587,6.31660702719693,9.64460638805871,8.75335575167218,1.54287934400003,5.43509444012312,3.88045108184633,4.25144813487917,0.683535704462937,4.63629667139792,3.3559645897328,4.90758937327205,1.32075905377731,5.00017948585208,6.04561166948834,2.42362168492921,2.73374076167663,5.28080543037269,1.32031477724692,5.89706124921794,3.17074268159028,7.2829185611185,1.73291503357127,0.280740773081074
BAS260512,3.8904549239371,7.24015633636547,5.32654578187912,7.36508673321241,-1.25909425641257,4.31954092971883,6.05834227846702,3.49929494046281,9.41884865282691,6.57722324819177,7.51482154438583,3.74120100530856,3.73768202620416,4.81993364614266,2.7136508141138,7.7426569780916,7.38980175956887,4.27743371330484,-1.71708961415782,8.236474918893,6.14898777946299,1.18768890516821,4.79840968737888,8.72474832014298,6.24464659900609,0.575411591024472,1.66267454768729,2.99169471759339,2.65901864976468,2.15908410321596,4.25542620608192,8.97976854024961,6.20039511820972,5.23567991046507,5.97719896643399,2.95424717600798,3.00107552159076,8.37698714061556,2.74302617818783,-0.438297680064978,6.23616122088011,4.37060507985539,4.39015836201617,0.47521865177507,6.47632527704322,4.55646990051108,6.66314780453438,3.33725418484989,3.15214529018407,4.77500360484343,6.17853817517001,5.21095035291419,6.40587062328667,3.24045789898509,5.82774882463635,8.2937245021107,8.10176860848689,5.2431327578724,4.55152109860961,5.90783031463688,6.71926660170873,-0.320952395309726,3.77832467847472,-0.211534388115651,2.71007159522551,1.39153298448096,6.80568229865522,4.3391675723202,8.26871784886968,9.18253032301144,8.58854001676794,3.07850810133635,5.97719896643399,1.87703488186377,4.96066206705743,4.50618265554635,7.12444493380327,1.85871784492985,5.05447858519853,4.31650555498695,2.13672837051525,6.92568558503663,1.25064217743248,2.11879947974913,11.4557741436665,0.979899680032706,7.55293194426196,-0.595822841651065,2.76914205076573,4.12469247385726,9.31269457072702,6.80064248028022,7.84936888546416,4.13963656562371,1.36218155722321,3.24626977044087,0.544203738473062,3.13490341438576,6.97319310616474,6.21936152552108,5.66654971691568,11.3604787583045,8.10176860848689,1.28131526618679,4.95661211803926,5.40074856502777,2.0816800900715,11.8349279491484,14.583382204824,1.25566998818432,9.7682199891453,2.33160159754767,3.01533243908417,3.0128559791853,7.39030299510734,7.37082523477839,4.17741009164227,1.66267454768729,5.44030697980143,0.517559791430156,3.00784584160366,3.44003569679677,4.70027853394461,10.5103737744344,-0.516142978654886,8.10176860848689,1.92762895773382,4.34639770455989,3.37963529719714,0.201113972542654,7.24374969238307,5.49328737466389,3.29653028839652,5.97719896643399,3.27244588820785,5.03915297829341,8.80240455270374,7.82318218361057,2.60618434089143,7.21774442472407,6.51566515894159,4.27737135630095,-1.0475944416576,3.81100727560237,2.31873668065041,4.9625099544707,0.39727366625474,4.61054840345679,5.42260213273352,2.67216734160952,2.2508858390059,5.4428320932682,0.557460600907389,4.11623694608456,2.76945064318451,9.41410695681665,0.664454537893533,0.266898112424043
BAS260724,4.49373146871107,6.1200463035878,5.69486835954253,7.36019420074553,0.475700763708444,3.59260931367203,8.10598489416927,5.19627498545295,8.78930481093253,7.67907035509027,6.64329536038314,0.879842004350028,3.87764329203675,6.1987266142759,2.51569663450123,7.34557564858053,9.02947447428523,4.30604551985107,1.62376084440247,8.04988396189681,5.73631190891713,2.72537821816713,3.80480221614298,6.92872087675005,7.06662639121047,0.206194589218185,2.67321547158166,3.5328863652332,1.7609194704253,3.52285632105059,3.86628266686041,7.75629750197051,4.96259717927961,4.89364985804367,7.36071791890074,4.67392836895893,3.54444764233094,7.35465287227719,2.23224757808561,-1.01062763982202,5.44032560642234,5.01113817786562,3.81969208808511,1.71496571957061,6.85750528900079,3.2649116272192,6.22559951135407,3.37995533363671,2.15450893293017,5.50732490273613,6.39801211976066,5.82529077156277,5.57757164820133,2.77008337876239,6.25891717935646,8.28701897663493,5.8255826573118,5.07466088084342,4.72554042945244,9.53487578819605,7.76843158777468,0.505265272538725,1.73570423780225,0.639490254002557,1.24103829986387,3.1090412318591,5.37079536699391,3.04184425800117,7.96993337154897,8.53881443686418,8.47279026005154,2.2169832152382,7.36071791890074,3.43729087573846,4.46531350011542,3.9073708286768,5.99390308290246,0.377266469961533,4.26049742678247,3.47883823879134,0.825900016589696,5.4851547200572,0.579872295974776,2.80193075137188,11.3175123184292,-0.198368619019487,5.85804532898744,-0.187464417631657,3.06142866380893,4.93307793012703,8.75742954647971,7.63547056401302,7.92805655368701,4.85170292580671,0.894638057652411,4.10442339776436,3.12283213498974,2.39485535061862,8.34527070439526,2.94369013752715,5.64423224381878,8.9576929543836,5.8255826573118,1.45616072612654,5.16463732808484,5.00454315812314,1.95836033664413,12.1815205527912,14.4014574781205,3.04765307970482,10.374381473873,2.39452892742191,3.25745205212262,2.33468102484966,7.88012764046497,7.36270072559721,3.87736836024636,2.67321547158166,5.80451000357989,-0.0536153425025455,2.96659918751769,2.1623741473036,4.95642453296399,10.1935035189736,-0.503478526112383,5.8255826573118,3.04701750505929,5.19332917476983,5.7182834403426,0.603487610215525,9.76710203461074,5.75011199014542,2.01403108018347,7.36071791890074,3.86422237662866,6.17499022651943,10.6982310296697,7.69853073102772,1.60265066066787,7.17966260704694,5.28272526331452,5.61153775077546,0.248625658652583,3.49967826570301,3.90951884570356,6.55510492222525,0.913556771699263,5.02781447921808,5.55671625603738,1.87409285222991,1.78389777960422,8.02336577274529,3.24362312636492,4.65920220593425,3.17504513953936,8.16463746283137,0.00466909671659003,1.70382931200334
BEM291129,4.56001639560525,6.79438579675865,5.29873416926626,7.62764781919158,-0.306252087801761,3.2625564610711,5.09907492827125,3.47782950433219,8.80851093510262,6.97737538270489,6.75451299250807,-2.93388805966143,3.4930730069738,5.05929891874714,3.17352483871245,7.08835172889045,7.77959791584182,4.49692342816126,-1.17808041172662,7.33905110440354,6.17813404969433,-0.61295845987772,4.22654120986982,7.25765950238056,4.81754332474811,-0.360581382361484,1.41541298090663,3.14977465774733,2.6585372735861,2.76044682390648,3.67010753026174,8.52651539397554,5.83428174887926,5.61924385957178,6.80550017735211,2.45509803260733,3.00890217300652,8.6317475988849,1.70340325806431,-1.40572675622596,6.22425369312908,4.71315502451196,3.80964214591705,1.48352150225168,7.17881079167883,3.20342418800043,5.79860651569068,3.43240432009911,1.65328320133119,5.1949433678144,6.04734324631553,6.10979174309036,6.72714129024289,3.50406362701768,5.90152215549758,7.76441209034518,7.39095577729322,3.91107562329618,4.30463846409709,6.30449720692039,6.06141294144134,1.68109700350521,3.37772500204376,0.124621575403361,2.33323013847398,1.67808775051283,5.45632344454596,3.11724553739896,8.45689537049554,9.61869787909739,7.77352367397475,3.6866214240724,6.80550017735211,1.25089779759028,4.49791342618775,4.04477216603841,5.84780757697731,1.30929334182884,4.53797471974957,3.25944162718185,1.39106841164709,6.37258669246041,-1.63025415527021,1.8780111574356,11.3011841478818,0.724400525093275,6.90500294148511,0.442461651199545,3.51068977735577,4.32692129979783,8.51164425425086,6.68899708533008,8.02795107310539,4.24994264814035,1.52361396231536,3.03657895604604,1.36502312105909,3.11225428630625,7.49174781862466,3.41413171123729,5.93425802138448,9.60443017563758,7.39095577729322,-0.950344647388539,4.20828918570425,5.28117279257974,0.39826298808189,11.3508645485541,13.7048011231692,0.734577336915642,9.81613938505103,2.29113177819924,3.67575812982343,3.45789512426759,10.9414251677573,7.75343824053454,4.41890577539834,1.41541298090663,4.83032063544426,-1.03205800610117,3.71349534377593,2.47684051020737,4.74295435688714,9.56066417251584,-1.05810454999301,7.39095577729322,2.57118579718304,5.11759151260798,3.561183080144,0.906720879150086,7.65026768668951,5.64054656612139,2.10211545947662,6.80550017735211,3.49772715616031,6.06640420488783,8.75369565433154,7.95979642551689,2.30436017564502,6.38455412726574,6.07556511118706,5.14168446952187,-0.734511695052242,4.28121139881438,1.59059211878333,5.10397601554971,0.146581870644377,4.57143875551174,6.21129247556981,0.283951681363889,1.30821671345434,6.67600692760224,1.53459608564616,4.71263405509819,2.69988671056307,9.90424708280171,1.31539637626419,0.0650681508638589
