,FIGF,FLT1,KDR,KIT,PDGFA,PDGFB,PDGFRA,PDGFRB,VEGFA,VEGFB,VEGFC,ANGPT1,ANGPT2,ANGPT4,ANGPTL1,TEK,TGFB1,THBS1,TIE1,BAK1,BCL2,BCL2L1,BIRC5,XIAP,CDK4,CDK6,BRCA1,ERCC1,NAE1,NEDD8,RAD51,RAD52,XRCC4,KSR1,MAPK11,MAPK3,FGF1,FGF12,FGF13,FGF14,FGF2,FGF3,FGF4,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,GLI1,PRKACA,PTCH1,SHH,SMO,STK36,AREG,BTC,EGF,EGFR,ERBB2,ERBB3,ERBB4,EREG,HBEGF,NRG1,NRG2,NRG4,TGFA,IGF1,IGF2,IGF2R,IRS1,PKM,CD274,CTLA4,LAG3,PDCD1,PDCD1LG2,JAK2,SOCS1,STAT1,STAT2,STAT3,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K2,MAP3K3,MAP3K4,AXL,HGF,MET,MST1R,PIM1,PIM2,PIM3,STK11,TSC1,TSC2,AKT1,AKT2,MTOR,PTEN,ALK,RET,ROS1,UBA1,ATM,ATR,BRCA1,CHEK1,CHEK2,PARP1,RAD54B,RAD54L,WEE1,XRCC1,PIK3C2B,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PRKCA,PRKCB,ILK,PLK1,BRAF,RAF1,HRAS,KRAS,NRAS,CCNE1,CCNE2,RB1,CCND2,CCND3,CDKN2A,CDKN2B,DKC1,HSP90AA1,TEP1,TERT,CDH1,CTNNA1,DKK1,FZD1,FZD5,WIF1,WNT5A,WNT5B
Pathway,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOGENESIS,ANGIOPOIETINS,ANGIOPOIETINS,ANGIOPOIETINS,ANGIOPOIETINS,ANGIOPOIETINS,ANGIOPOIETINS,ANGIOPOIETINS,ANGIOPOIETINS,Antiapoptosis,Antiapoptosis,Antiapoptosis,Antiapoptosis,Antiapoptosis,CDK4_6,CDK4_6,DNA_REPAIR,DNA_REPAIR,DNA_REPAIR,DNA_REPAIR,DNA_REPAIR,DNA_REPAIR,DNA_REPAIR,ERK,ERK,ERK,FGF,FGF,FGF,FGF,FGF,FGF,FGF,FGF,FGF,FGF,FGF,FGF,FGF,FGF,FGF,HDAC,HDAC,HDAC,HDAC,HDAC,HEDGEHOG,HEDGEHOG,HEDGEHOG,HEDGEHOG,HEDGEHOG,HEDGEHOG,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,Her_pathway,IGF_Warburg,IGF_Warburg,IGF_Warburg,IGF_Warburg,IGF_Warburg,IMMUNO-Modulator,IMMUNO-Modulator,IMMUNO-Modulator,IMMUNO-Modulator,IMMUNO-Modulator,JAK_STAT,JAK_STAT,JAK_STAT,JAK_STAT,JAK_STAT,MEK,MEK,MEK,MEK,MEK,MEK,MEK,MET,MET,MET,MET,Modulators_MTKPT,Modulators_MTKPT,Modulators_MTKPT,Modulators_MTKPT,Modulators_MTKPT,Modulators_MTKPT,mTOR_AKT_PTEN,mTOR_AKT_PTEN,mTOR_AKT_PTEN,mTOR_AKT_PTEN,OTHERS,OTHERS,OTHERS,OTHERS,PARP,PARP,PARP,PARP,PARP,PARP,PARP,PARP,PARP,PARP,PI3K,PI3K,PI3K,PI3K,PI3K,PI3K,PI3K,PLK_AURKA_Kinesins,PLK_AURKA_Kinesins,RAF,RAF,RAS,RAS,RAS,Resist_CDK4_6_inhibit,Resist_CDK4_6_inhibit,Resist_CDK4_6_inhibit,Sensitivity_to_CDK4_6_inhibitors,Sensitivity_to_CDK4_6_inhibitors,Sensitivity_to_CDK4_6_inhibitors,Sensitivity_to_CDK4_6_inhibitors,TELOMERASE,TELOMERASE,TELOMERASE,TELOMERASE,WNT,WNT,WNT,WNT,WNT,WNT,WNT,WNT
AGG600716,4.865,5.658,4.67,6.762,0.788,4.188,5.151,2.816,7.909,5.98,7.35,-2.035,3.807,4.571,3.405,6.975,7.094,3.935,-2.489,7.73,5.628,2.144,4.083,9.152,3.541,0.275,1.26,3.244,2.65,2.143,2.855,7.758,6.04,5.009,5.637,2.922,3.296,7.886,2.53,-0.866,6.043,3.929,4.573,0.225,5.839,2.601,5.898,3.492,2.535,5.021,5.638,5.053,6.741,2.266,5.568,7.399,7.308,5.012,4.317,5.569,6.152,0.58,1.05,-0.746,1.688,4.67,6.082,3.64,7.127,8.869,6.874,3.389,5.637,2.779,4.435,3.901,5.595,1.783,4.541,3.364,-0.167,6.45,-1.506,3.045,11.51,1.682,7.249,1.166,3.405,4.252,8.874,6.739,7.868,4.001,0.959,3.626,0.918,3.403,6.955,2.898,5.036,10.123,7.308,0.677,4.48,4.928,1.837,10.718,14.148,1.776,8.827,1.837,2.693,2.916,7.447,6.827,4.385,1.26,4.961,0.614,4.335,2.641,4.987,10.624,-1.475,7.308,1.892,5.536,3.618,1.045,6.947,5.445,2.947,5.637,3.392,6.043,8.552,8.413,2.596,6.537,5.47,5.157,0.466,1.186,2.657,4.771,0.515,3.986,5.761,0.435,2.042,5.05,0.138,4.338,2.386,9.056,1.775,-0.224
ANO420520,4.033,6.081,4.148,7.161,0.944,4.358,6.597,3.889,8.783,6.616,7.107,2.087,3.275,4.855,2.66,7.123,7.63,4.249,-1.024,7.812,6.039,0.511,4.297,8.563,4.777,0.842,1.591,3.171,1.945,3.046,2.938,8.708,5.909,4.795,5.452,2.607,3.11,8.033,2.245,-1.206,6.711,4.783,3.911,-0.958,7.354,4.02,6.578,3.666,2.506,3.988,5.768,5.625,6.622,2.701,5.469,7.642,7.75,5.042,4.093,5.753,6.27,0.154,0.792,-0.478,2.694,1.843,5.958,3.652,8.07,9.817,8.53,4.154,5.452,1.414,4.463,4.616,6.845,1.926,5.217,4.444,-0.921,6.67,0.248,1.772,12.449,0.17,6.922,0.466,3.594,4.648,9.675,6.765,8.107,3.728,0.516,3.243,1.509,4.143,7.09,3.138,5.128,10.152,7.75,1.249,4.791,5.653,2.084,11.228,14.765,0.849,9.803,2.81,2.05,2.017,7.023,7.349,4.559,1.591,4.702,0.305,3.355,2.397,3.997,10.84,-0.575,7.75,2.478,4.744,3.174,1.713,7.17,5.557,2.117,5.452,3.467,4.72,9.809,6.03,2.651,6.66,5.521,4.535,0.47,-1.347,2.378,6.319,0.932,4.729,5.627,1.968,1.764,5.424,0.148,4.294,2.123,9.402,1.431,0.37
ARC270517,4.041,7.236,5.177,6.659,-0.286,3.91,7.031,4.238,8.627,7.654,8.435,1.808,3.867,4.858,1.857,7.387,7.62,3.849,-0.755,7.783,6.173,1.142,3.767,8.16,6.136,-0.111,2.432,3.346,2.126,3.569,3.48,7.815,5.348,5.358,6.003,3.224,3.095,7.647,1.677,1.121,5.704,5.036,5.173,2.32,5.849,3.147,6.243,3.346,2.341,4.831,5.9,5.761,6.394,3.144,5.808,7.736,6.314,4.825,3.855,7.395,7.11,1.873,1.284,0.305,1.412,3.233,6.254,3.246,7.547,8.68,8.585,2.903,6.003,2.719,4.308,4.534,5.989,-0.518,4.987,3.071,0.925,6.444,0.709,2.194,12.426,0.648,6.185,-1.111,2.58,4.337,8.927,6.993,8.082,3.99,1.162,3.269,1.971,3.54,7.233,4.051,5.754,9.616,6.314,2.718,5.096,5.432,2.492,11.832,13.33,1.652,8.838,2.617,1.616,1.988,3.895,7.046,3.779,2.432,5.31,-0.137,2.995,1.553,4.734,10.382,-0.846,6.314,2.471,4.469,4.275,-0.028,9.445,5.82,2.55,6.003,3.581,5.479,9.237,7.861,2.746,7.079,5.067,5.112,-0.386,3.59,3.003,5.136,0.361,4.328,4.521,1.027,2.893,7.909,2.375,5.073,3.562,8.237,1.34,1.069
AVI260916,4.465,6.214,5.895,7.484,0.118,3.29,6.925,3.566,9.279,6.954,7.113,0.786,4.293,4.707,3.044,6.963,6.946,4.049,-0.669,8.109,5.684,0.002,3.591,8.443,6.045,0.442,1.872,3.238,2.224,2.608,3.583,8.438,5.339,4.213,5.383,2.955,2.685,9.495,2.591,0.115,6.234,5.281,3.651,1.262,7.691,3.739,6.834,3.733,2.762,4.504,5.895,6.194,6.394,3.591,5.143,7.626,6.919,4.349,4.544,6.036,7.033,0.537,2.561,0.709,2.241,2.776,5.906,4.169,8.47,9.297,8.196,2.982,5.383,2.137,4.731,4.009,5.936,0.906,4.639,2.877,1.335,6.784,-0.596,2.357,11.116,0.097,6.684,-0.494,2.993,4.914,8.716,6.753,7.959,4.009,0.964,3.116,1.183,5.713,7.252,5.114,5.602,10.081,6.919,1.523,4.585,5.221,1.401,11.241,14.4,1.082,10.377,2.308,3.675,2.184,8.075,7.594,5.344,1.872,5.61,-0.87,2.214,2.799,4.384,10.146,-0.78,6.919,2.571,3.839,4.211,2.215,7.53,4.793,3.253,5.383,3.305,4.48,8.509,8.727,2.289,6.993,6.301,3.786,0.153,4.462,2.51,6.008,-0.028,4.374,5.974,1.813,1.73,5.926,2.339,4.151,2.749,10.101,-0.393,0.531
AZE450213,4.178,6.369,5.047,7.155,0.213,3.304,7.328,3.902,8.928,7.079,7.241,0.686,4.149,5.08,2.468,6.796,7.78,4.348,-0.908,7.463,6.607,1.517,4.501,7.48,5.155,0.978,1.437,3.217,1.619,2.698,3.673,9.043,5.914,4.588,6.233,3.077,2.809,8.726,2.042,-0.562,6.428,3.941,3.819,1.171,7.811,3.507,6.901,3.589,3.228,4.456,6.094,5.562,6.594,2.95,5.742,7.852,6.684,5.014,4.479,7.812,6.854,0.296,1.699,-0.665,2.301,2.011,6.654,3.674,8.113,9.325,8.691,3.54,6.233,2.225,4.937,4.488,6.44,-0.245,4.178,3.637,1.225,6.509,0.557,1.814,11.594,0.553,6.97,-0.991,2.685,4.456,9.216,7.223,7.964,4.594,0.538,3.346,1.868,3.83,6.899,4.218,5.346,10.106,6.684,1.371,4.809,5.66,1.514,11.187,14.863,2.436,10.561,2.692,2.511,2.445,7.716,7.139,3.898,1.437,4.581,-0.949,2.726,3.573,4.211,11.419,-0.815,6.684,1.943,4.222,3.664,1.036,8.16,5.442,2.744,6.233,3.099,4.638,9.327,7.582,2.928,7.296,5.283,3.809,0.257,3.472,2.749,6.43,0.707,4.317,5.402,1.439,3.202,6.091,0.165,4.654,2.835,9.371,-0.013,1.147
BAR331123,3.645,5.915,5.638,7.414,0.664,1.219,5.559,3.743,7.361,8.098,5.646,-2.654,3.669,6.051,2.284,4.158,9.051,5.538,-2.172,5.992,5.083,1.56,3.86,6.82,6.851,0.921,2.098,3.775,1.843,3.559,4.249,6.211,4.025,4.868,8.457,3.446,3.28,7.348,1.707,-2.115,4.499,5.01,2.613,3.196,5.176,1.356,4.735,3.466,3.007,6.777,6.687,6.603,5.535,3.783,7.18,8.357,2.718,3.032,4.841,8.115,7.442,0.154,1.214,-0.617,2.005,1.97,5.601,2.751,6.328,7.852,8.676,3.034,8.457,2.99,3.606,3.583,7.5,0.54,3.906,0.772,1.573,4.345,-1.313,3.197,9.113,1.074,5.953,0.224,3.374,4.609,6.847,7.113,7.934,4.725,1.11,4.239,0.929,3.374,7.181,2.841,4.911,8.468,2.718,2.188,4.641,4.413,-0.153,12.613,10.201,2.998,8.076,2.455,2.693,3.184,8.982,6.21,4.278,2.098,4.222,0.636,2.693,-1.062,6.138,7.509,-1.333,2.718,2.703,4.507,4.122,0.177,10.742,4.893,2.712,8.457,3.92,6.317,9.645,8.753,1.543,5.435,3.88,4.251,0.684,4.636,3.356,4.908,1.321,5,6.046,2.424,2.734,5.281,1.32,5.897,3.171,7.283,1.733,0.281
BAS260512,3.89,7.24,5.327,7.365,-1.259,4.32,6.058,3.499,9.419,6.577,7.515,3.741,3.738,4.82,2.714,7.743,7.39,4.277,-1.717,8.236,6.149,1.188,4.798,8.725,6.245,0.575,1.663,2.992,2.659,2.159,4.255,8.98,6.2,5.236,5.977,2.954,3.001,8.377,2.743,-0.438,6.236,4.371,4.39,0.475,6.476,4.556,6.663,3.337,3.152,4.775,6.179,5.211,6.406,3.24,5.828,8.294,8.102,5.243,4.552,5.908,6.719,-0.321,3.778,-0.212,2.71,1.392,6.806,4.339,8.269,9.183,8.589,3.079,5.977,1.877,4.961,4.506,7.124,1.859,5.054,4.317,2.137,6.926,1.251,2.119,11.456,0.98,7.553,-0.596,2.769,4.125,9.313,6.801,7.849,4.14,1.362,3.246,0.544,3.135,6.973,6.219,5.667,11.36,8.102,1.281,4.957,5.401,2.082,11.835,14.583,1.256,9.768,2.332,3.015,3.013,7.39,7.371,4.177,1.663,5.44,0.518,3.008,3.44,4.7,10.51,-0.516,8.102,1.928,4.346,3.38,0.201,7.244,5.493,3.297,5.977,3.272,5.039,8.802,7.823,2.606,7.218,6.516,4.277,-1.048,3.811,2.319,4.963,0.397,4.611,5.423,2.672,2.251,5.443,0.557,4.116,2.769,9.414,0.664,0.267
BAS260724,4.494,6.12,5.695,7.36,0.476,3.593,8.106,5.196,8.789,7.679,6.643,0.88,3.878,6.199,2.516,7.346,9.029,4.306,1.624,8.05,5.736,2.725,3.805,6.929,7.067,0.206,2.673,3.533,1.761,3.523,3.866,7.756,4.963,4.894,7.361,4.674,3.544,7.355,2.232,-1.011,5.44,5.011,3.82,1.715,6.858,3.265,6.226,3.38,2.155,5.507,6.398,5.825,5.578,2.77,6.259,8.287,5.826,5.075,4.726,9.535,7.768,0.505,1.736,0.639,1.241,3.109,5.371,3.042,7.97,8.539,8.473,2.217,7.361,3.437,4.465,3.907,5.994,0.377,4.26,3.479,0.826,5.485,0.58,2.802,11.318,-0.198,5.858,-0.187,3.061,4.933,8.757,7.635,7.928,4.852,0.895,4.104,3.123,2.395,8.345,2.944,5.644,8.958,5.826,1.456,5.165,5.005,1.958,12.182,14.401,3.048,10.374,2.395,3.257,2.335,7.88,7.363,3.877,2.673,5.805,-0.054,2.967,2.162,4.956,10.194,-0.503,5.826,3.047,5.193,5.718,0.603,9.767,5.75,2.014,7.361,3.864,6.175,10.698,7.699,1.603,7.18,5.283,5.612,0.249,3.5,3.91,6.555,0.914,5.028,5.557,1.874,1.784,8.023,3.244,4.659,3.175,8.165,0.005,1.704
BEM291129,4.56,6.794,5.299,7.628,-0.306,3.263,5.099,3.478,8.809,6.977,6.755,-2.934,3.493,5.059,3.174,7.088,7.78,4.497,-1.178,7.339,6.178,-0.613,4.227,7.258,4.818,-0.361,1.415,3.15,2.659,2.76,3.67,8.527,5.834,5.619,6.806,2.455,3.009,8.632,1.703,-1.406,6.224,4.713,3.81,1.484,7.179,3.203,5.799,3.432,1.653,5.195,6.047,6.11,6.727,3.504,5.902,7.764,7.391,3.911,4.305,6.304,6.061,1.681,3.378,0.125,2.333,1.678,5.456,3.117,8.457,9.619,7.774,3.687,6.806,1.251,4.498,4.045,5.848,1.309,4.538,3.259,1.391,6.373,-1.63,1.878,11.301,0.724,6.905,0.442,3.511,4.327,8.512,6.689,8.028,4.25,1.524,3.037,1.365,3.112,7.492,3.414,5.934,9.604,7.391,-0.95,4.208,5.281,0.398,11.351,13.705,0.735,9.816,2.291,3.676,3.458,10.941,7.753,4.419,1.415,4.83,-1.032,3.713,2.477,4.743,9.561,-1.058,7.391,2.571,5.118,3.561,0.907,7.65,5.641,2.102,6.806,3.498,6.066,8.754,7.96,2.304,6.385,6.076,5.142,-0.735,4.281,1.591,5.104,0.147,4.571,6.211,0.284,1.308,6.676,1.535,4.713,2.7,9.904,1.315,0.065
